gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,n_counts,n_cells,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
WASH7P,1560.4,54.65999999999999,WASH7P,False,,0.803450078410873,1.4728541995201268,0.8080663564598201,332303.88,830,False,830,2.4595869,1.2411492,56.612650287506526,4705.1895,8.456634
MTND1P23,372.0,44.35,MTND1P23,False,,0.5974908520648197,0.9017091820553929,0.7016798491790672,351901.84,723,False,723,2.13505,1.1426451,62.20595922634605,4084.3506,8.315163
MTND2P28,1044.0,43.1,MTND2P28,False,,10.29482488238369,70.22474830875292,1.0144276509042771,4823983.5,1578,False,1578,6.2723856,1.9840844,17.511761630946154,11999.073,9.392668
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,39.86461055933089,728.1600073927137,0.9482282848239457,18511068.0,1750,False,1750,8.158494,2.2146819,8.520648196549917,15607.198,9.655552
RP5-857K21.7,682.0,45.31,RP5-857K21.7,False,,1.2744380554103503,2.100899592525932,0.6516145925715936,930293.4,1190,False,1190,3.7115753,1.5500224,37.79404077365395,7100.2437,8.868025
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.4479874542603241,0.5016081337337386,0.5437079067000229,297535.75,664,False,664,1.9002666,1.0648026,65.29012023000521,3635.2102,8.198697
MTATP6P1,681.0,43.91,MTATP6P1,False,,1.9623627809722948,4.701511569157971,0.8258212545338103,1092844.6,1339,False,1339,4.2970486,1.6671498,30.00522739153163,8220.254,9.014478
RP5-857K21.11,547.0,48.26,RP5-857K21.11,False,,2.8003136434918976,5.949644253040704,0.637694884552994,1646508.4,1526,False,1526,5.1325054,1.8136034,20.230005227391533,9818.482,9.192123
NOC2L,1749.0,59.550000000000004,NOC2L,True,6751.0,0.46001045478306324,1.034095606585207,1.0875832331820223,169502.5,475,False,475,1.3871535,0.87010163,75.16989022477783,2653.6248,7.8840585
KLHL17,1235.75,67.87,KLHL17,True,4809.0,0.15891270256142184,0.34816450754253503,1.1842430578308227,70703.76,179,False,179,0.5288579,0.42452097,90.64296915838996,1011.70514,6.9203806
ISG15,711.0,64.58,ISG15,True,1260.0,0.46994249869315213,1.4375113460642512,1.4754660376895228,163357.47,464,False,464,1.3544685,0.856315,75.74490329325667,2591.0981,7.860223
UBE2J2,1020.5,56.33,UBE2J2,True,2309.0,0.3434396236278097,0.9065691251446304,1.3266088435709573,136615.05,340,False,340,1.0019037,0.69409853,82.22686879247256,1916.6416,7.5588512
SCNN1D,1967.625,65.93,SCNN1D,True,643.0,0.10245687401986409,0.30121257985988836,1.6386343546734852,48011.844,100,False,100,0.30078176,0.26296544,94.77260846837429,575.3955,6.356794
