gene_name,transcript_length,GC_content,gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,n_counts,n_cells,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts
WASH7P,1560.4,54.65999999999999,WASH7P,False,,1.269694819020582,6.7979516823665795,0.5770366004759211,178811.88,600,False,600,2.2788806,1.187502,57.41660752306601,3210.9429,8.074632
MTND1P23,372.0,44.35,MTND1P23,False,,0.2640170333569908,0.3592227724369318,0.18072125634345487,44131.375,290,False,290,0.9853571,0.6857988,79.4180269694819,1388.3682,7.236604
MTND2P28,1044.0,43.1,MTND2P28,False,,8.923349893541518,51.00974558842494,0.48464792778672366,1470528.5,1250,False,1250,5.9791055,1.9429208,11.284599006387507,8424.56,9.039025
hsa-mir-6723,1543.0,45.76,hsa-mir-6723,False,,25.300922640170334,210.80852897767616,0.5289216381703903,3958755.2,1290,False,1290,7.2158585,2.1060662,8.445706174591905,10167.145,9.2270155
RP5-857K21.7,682.0,45.31,RP5-857K21.7,False,,0.43364088005677787,0.5369640783276345,0.15212773038500213,70112.71,455,False,455,1.570199,0.9439833,67.70759403832504,2212.4104,7.7022896
MTATP8P1,207.0,38.16,MTATP8P1,False,,0.1440738112136267,0.16459731272985353,0.1655013266527508,23012.365,179,False,179,0.6059458,0.4737129,87.29595457771468,853.77765,6.750841
MTATP6P1,681.0,43.91,MTATP6P1,False,,0.8566359119943222,2.4311366862378163,0.3175691707776211,126587.71,592,False,592,2.1474264,1.1465851,57.98438608942512,3025.7236,8.015236
RP5-857K21.11,547.0,48.26,RP5-857K21.11,False,,1.7352732434350604,3.1095574714497625,0.18880320907619627,252230.72,962,False,962,3.6619499,1.5394338,31.724627395315828,5159.6875,8.548825
RP11-206L10.1,1236.0,65.99,RP11-206L10.1,False,,0.10645848119233499,0.3906471788502481,0.5628691015469619,13716.109,78,False,78,0.27325273,0.24157482,94.46415897799858,385.0131,5.955871
LINC01128,1197.3636363636363,46.34000000000001,LINC01128,True,3057.0,0.23349893541518807,2.44188838796051,1.4128407156197367,30129.969,85,False,85,0.3281919,0.28381854,93.96735273243435,462.4224,6.138639
NOC2L,1749.0,59.550000000000004,NOC2L,True,4584.0,1.2938254080908447,15.382355313246046,1.2794231211992815,179839.02,384,False,384,1.5398782,0.93211615,72.74662881476223,2169.6885,7.6828
KLHL17,1235.75,67.87,KLHL17,True,2246.0,0.31653655074520937,3.696608450545194,1.5109447797913318,44563.477,112,False,112,0.4386199,0.36368427,92.05110007097232,618.01544,6.42813
ISG15,711.0,64.58,ISG15,True,2156.0,1.3002129169623846,18.454552511452356,1.5268122894131704,225054.22,310,False,310,1.2847347,0.8262499,77.9985805535841,1810.1913,7.50174
C1orf159,1529.8181818181818,54.65,C1orf159,True,5460.0,0.18594748048261178,1.6273307955351972,1.2188666685310265,38944.43,73,False,73,0.28738582,0.25261366,94.81902058197304,404.92664,6.0061727
UBE2J2,1020.5,56.33,UBE2J2,True,1855.0,1.1128459900638752,16.081716965610678,1.5751494802466448,141682.31,237,False,237,0.9911671,0.68872094,83.17955997161107,1396.5544,7.2424793
ACAP3,1794.5384615384614,67.29999999999998,ACAP3,False,,0.39673527324343505,2.3488813794438386,0.7386054180319717,58785.535,184,False,184,0.7045628,0.5333086,86.94109297374024,992.72894,6.9014645
CPSF3L,1229.875,60.46000000000003,CPSF3L,False,,0.9616749467707594,8.225802874379008,0.9455301584288706,161850.64,325,False,325,1.2913927,0.8291598,76.93399574166075,1819.5723,7.506906
DVL1,2268.0,66.24,DVL1,False,,0.1873669268985096,1.0444141557519835,0.7754142937413224,26529.059,87,False,87,0.32924008,0.2846074,93.82540809084458,463.8993,6.141821
AURKAIP1,849.1666666666666,66.87,AURKAIP1,False,,1.0972320794889994,10.667385799083851,1.0610679892119843,153989.94,360,False,360,1.4207371,0.8840721,74.4499645138396,2001.8186,7.6023107
CCNL2,1673.75,51.36999999999999,CCNL2,True,7454.0,2.4925479063165366,27.250121983676262,1.1240562554760296,347577.9,598,False,598,2.5033944,1.2537323,57.55855216465579,3527.2827,8.168567
RP4-758J18.2,1346.125,59.37,RP4-758J18.2,True,593.0,0.8112136266855926,13.968595756177814,1.9385030108738555,122237.71,190,False,190,0.77626956,0.5745154,86.5152590489709,1093.7638,6.998294
MRPL20,811.5,53.09000000000001,MRPL20,True,6027.0,1.9418026969481903,21.958258395702995,1.1829017812592943,264452.44,592,False,592,2.3820033,1.2184682,57.98438608942512,3356.2427,8.1188755
ATAD3B,2459.3333333333335,58.82999999999999,ATAD3B,True,1430.0,1.0688431511710432,16.15931975450025,1.6540501271081745,162344.3,279,False,279,1.1370455,0.75942427,80.19872249822569,1602.0972,7.3796926
ATAD3A,1610.0,59.87,ATAD3A,True,3948.0,0.2526614620298084,2.5099804826117826,1.3272334483430073,34595.08,76,False,76,0.3042542,0.26563138,94.60610361958835,428.69418,6.0630736
SSU72,1706.5,53.87,SSU72,False,,1.0603264726756565,9.35502290470355,0.9659879695774592,149650.66,387,False,387,1.5112994,0.92080027,72.53371185237758,2129.421,7.664075
MIB2,2003.9714285714285,66.41000000000001,MIB2,False,,0.20652945351312987,1.5432527905026114,1.0255595670480926,28943.676,105,False,105,0.38739368,0.32742694,92.54790631653655,545.8377,6.304152
CDK11B,2011.1666666666667,52.93,CDK11B,False,,1.6146202980837474,12.269700867797972,0.8045235828581325,253507.4,572,False,572,2.248243,1.1781143,59.40383250532293,3167.7744,8.0611
SLC35E2B,4311.5,53.64,SLC35E2B,False,,1.1405251951738822,8.127965917155931,0.7750785990839097,162385.28,458,False,458,1.7771852,1.0214379,67.49467707594039,2504.054,7.8260655
RP11-345P4.7,1422.0,52.67,RP11-345P4.7,True,946.0,0.2576295244854507,3.442812842764048,1.7807505650199258,34545.76,93,False,93,0.35342476,0.30263823,93.39957416607523,497.9755,6.212557
CDK11A,1353.0833333333333,51.99,CDK11A,False,,0.47196593328601844,2.8303569988386315,0.7271294762763674,65723.86,288,False,288,1.0449437,0.71537024,79.55997161107167,1472.3257,7.2952776
RP1-283E3.4,791.0,50.91,RP1-283E3.4,True,6069.0,0.5131298793470547,5.055402767920507,1.1793359655941242,80589.125,199,False,199,0.756365,0.5632463,85.87650816181689,1065.7183,6.972342
SLC35E2,1287.0,52.17,SLC35E2,False,,0.20723917672107878,1.1757714207368217,0.7783406866174223,25974.855,114,False,114,0.4145357,0.34680134,91.90915542938254,584.0808,6.37175
NADK,1305.5263157894738,53.700000000000024,NADK,False,,0.3158268275372605,1.6125405268081814,0.6608253241572034,46277.637,162,False,162,0.6113434,0.47706825,88.50248403122782,861.3828,6.7596993
GNB1,1257.75,46.68,GNB1,False,,2.3839602555003547,23.37022549841923,1.0114894853700094,323583.56,595,False,595,2.4876266,1.2492214,57.771469127040454,3505.066,8.16225
PRKCZ,985.0370370370371,56.440000000000026,PRKCZ,False,,0.3321504613200852,2.26885907961804,0.876925011175962,48857.91,161,False,161,0.60815424,0.47508708,88.57345635202272,856.88934,6.754475
C1orf86,1776.0666666666666,60.960000000000015,C1orf86,False,,0.33640880056777855,2.7347601054906745,1.0414633553732255,45463.965,134,False,134,0.5119576,0.41340524,90.48970901348474,721.34827,6.5825076
RER1,1243.0,53.84000000000002,RER1,False,,0.6671398154719659,4.061710634557063,0.7022305536618523,90350.055,287,False,287,1.0892367,0.7367988,79.63094393186657,1534.7346,7.3367643
PLCH2,4189.1,64.62,PLCH2,False,,0.12065294535131299,0.5266257097232085,0.6531462908821773,16344.834,79,False,79,0.28243175,0.24875808,94.39318665720369,397.94632,5.9888268
PANK4,1128.75,60.71000000000001,PANK4,False,,0.34279630943931866,2.7211856410090998,1.0138932229272848,44344.098,136,False,136,0.52193654,0.41998357,90.34776437189495,735.40857,6.601785
RP3-395M20.8,1772.6666666666667,62.87,RP3-395M20.8,True,5989.0,0.46841731724627395,4.575883927995355,1.1858125370354196,69322.22,158,False,158,0.62965876,0.48837066,88.78637331440738,887.1892,6.7891846
TNFRSF14,1266.75,64.05999999999997,TNFRSF14,False,,1.8537970191625266,19.843666325246748,1.1230124170676166,291169.5,570,False,570,2.284513,1.1892184,59.545777146912705,3218.8787,8.077099
FAM213B,1652.0666666666666,64.59000000000002,FAM213B,True,4651.0,0.33640880056777855,3.3483964691270414,1.2751510506736827,59801.78,102,False,102,0.41179797,0.34486404,92.76082327892122,580.2233,6.365135
MEGF6,2554.1428571428573,62.62,MEGF6,True,473.0,0.2427253371185238,3.6072357490805897,1.9965336768182496,35693.44,74,False,74,0.2880779,0.2531511,94.74804826117814,405.90173,6.0085716
TPRG1L,2301.5,52.22,TPRG1L,True,4681.0,0.47338537970191624,4.973900533905412,1.2734051408917975,73714.15,150,False,150,0.6028153,0.4717616,89.3541518807665,849.3667,6.7456675
WRAP73,1461.7,55.25,WRAP73,True,6947.0,0.2853087295954578,2.4867229337376595,1.1456232591737443,40569.86,112,False,112,0.42841667,0.3565666,92.05110007097232,603.6391,6.4046316
TP73-AS1,2179.5714285714284,54.43,TP73-AS1,False,,0.3356990773598297,2.710379500290343,1.0347151659623535,46652.273,141,False,141,0.53687996,0.42975435,89.99290276792051,756.46387,6.629976
LRRC47,1219.0,54.46,LRRC47,False,,0.1880766501064585,1.0789486418478604,0.7975597755248139,31191.293,93,False,93,0.35238,0.301866,93.39957416607523,496.50342,6.2096024
CEP104,1336.8181818181818,47.92000000000001,CEP104,False,,0.5706174591909156,4.941209916768822,1.0201982068004452,79904.375,208,False,208,0.8104957,0.5936007,85.23775727466288,1141.9884,7.0414014
DFFB,2036.1666666666667,51.659999999999975,DFFB,False,,0.21220723917672107,0.8590554229305105,0.553730962808499,30942.658,140,False,140,0.5093879,0.4117042,90.0638750887154,717.7276,6.577482
C1orf174,2560.6666666666665,49.32,C1orf174,True,6241.0,0.29382540809084456,2.6295144041551093,1.1713120781087745,43220.816,136,False,136,0.5076201,0.41053233,90.34776437189495,715.23676,6.574011
KCNAB2,1612.1,56.049999999999976,KCNAB2,False,,2.290986515259049,18.753334892573736,0.8471191197146714,360297.4,719,False,719,2.9047742,1.3621999,48.970901348474094,4092.827,8.317236
RPL22,1003.75,50.61000000000001,RPL22,False,,13.472675656493967,103.61732813407343,0.589873062274215,1941466.6,1267,False,1267,6.432267,2.005831,10.07806955287438,9063.064,9.112073
TNFRSF25,1203.3,59.700000000000024,TNFRSF25,False,,1.0965223562810504,9.908290454222838,0.9862584174019997,152969.17,389,False,389,1.5260845,0.9266705,72.39176721078779,2150.2532,7.6738057
NOL9,1877.8,47.78,NOL9,False,,0.18026969481902058,0.9887865749403179,0.7675521655698009,24650.508,106,False,106,0.38476336,0.32552928,92.47693399574166,542.1316,6.297352
